UnitID,Institution Name,Sector of institution (HD2018),Level of institution (HD2018),Control of institution (HD2018),Degree-granting status (HD2018),Degree of urbanization (Urban-centric locale) (HD2018),Tribal college (HD2018),Historically Black College or University (HD2018),Graduation rate  total cohort (DRVGR2017_RV),Graduation rate  men (DRVGR2017_RV),Graduation rate  women (DRVGR2017_RV),Graduation rate  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate  Asian/Native Hawaiian/Other Pacific Islander (DRVGR2017_RV),Graduation rate  Asian (DRVGR2017_RV),Graduation rate  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate  Black  non-Hispanic (DRVGR2017_RV),Graduation rate  Hispanic (DRVGR2017_RV),Graduation rate  White  non-Hispanic (DRVGR2017_RV),Graduation rate  Nonresident alien (DRVGR2017_RV),Graduation rate  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 4 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  total (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  men (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  women (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  American Indian or Alaska Native (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian/Native Hawaiian/Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Asian (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Native Hawaiian or Other Pacific Islander (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Black  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  White  non-Hispanic (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  two or more races (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Race/ethnicity unknown (DRVGR2017_RV),Graduation rate - Bachelor degree within 6 years  Nonresident alien (DRVGR2017_RV)
491464,ABC Adult School,"Public, less-than 2-year",Less than 2 years (below associate),Public,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
485500,ABCO Technology,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
488031,Abraham Lincoln University,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,City: Midsize,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
457271,Academy for Jewish Religion-California,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
462062,Academy for Salon Professionals,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Large,No,No,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108232,Academy of Art University,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,City: Large,No,No,40.0,35.0,43.0,0.0,41.0,41.0,33.0,23.0,33.0,39.0,56.0,34.0,40.0,6.0,39.0,34.0,42.0,0.0,41.0,42.0,33.0,23.0,34.0,36.0,20.0,34.0,55.0
108269,Academy of Chinese Culture and Health Sciences,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
454722,Academy of Esthetics and Cosmetology,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,
384306,Acupuncture and Integrative Medicine College-Berkeley,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Midsize,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
262369,Adrian's College of Beauty Turlock,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Small,No,No,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,
400187,Advance Beauty College,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,
479974,Advance Beauty Techs Academy,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Midsize,No,No,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
480019,Advanced Career Institute,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",City: Midsize,No,No,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,
444343,Advanced College,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,Suburb: Large,No,No,59.0,42.0,62.0,,67.0,71.0,0.0,51.0,63.0,75.0,,22.0,,,,,,,,,,,,,,,
491163,Advanced College-Stockton,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,City: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
444361,Advanced Training Associates,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,Suburb: Large,No,No,96.0,98.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,,,100.0,,,,,,,,,,,,,,
393524,Alhambra Beauty College,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",Suburb: Large,No,No,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,
487995,Alhambra Medical University,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,Suburb: Large,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
108807,Allan Hancock College,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,City: Midsize,No,No,31.0,27.0,36.0,33.0,39.0,45.0,14.0,13.0,28.0,41.0,29.0,,42.0,,,,,,,,,,,,,,
